Steps,Policy/Entropy,RT,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1260000,1.2521634,6.816326530612245,999.0,0.3296161,2.6583826213047423,2.6583826213047423,0.01062782,0.034879364,0.00028170002,0.1939,0.0009396102,1.0
1320000,1.2446957,6.852941176470588,1050.7241379310344,0.36209896,2.828880322390589,2.828880322390589,0.010563759,0.037808824,0.00028080004,0.19359997,0.0009366402,1.0
1380000,1.2328115,6.51440329218107,1050.7241379310344,0.39446947,2.9234814972713075,2.9234814972713075,0.010647953,0.035566803,0.00027990004,0.1933,0.0009336702,1.0
1440000,1.2243848,6.008264462809917,1050.7241379310344,0.42292914,2.942141578908552,2.942141578908552,0.010735447,0.035489533,0.00027900006,0.193,0.00093070016,1.0
1500000,1.2195059,5.97489539748954,999.0,0.44144818,2.810205504812043,2.810205504812043,0.011302885,0.036454983,0.0002781,0.19270003,0.00092773023,1.0
1560000,1.211701,5.894736842105263,1050.7241379310344,0.4678812,2.977368173928096,2.977368173928096,0.011264625,0.036459517,0.0002772,0.1924,0.0009247602,1.0
1620000,1.2046835,5.669291338582677,1050.7241379310344,0.48779687,3.047678281520975,3.047678281520975,0.011638556,0.03490311,0.0002763,0.19209999,0.00092179026,1.0
1680000,1.2016352,5.741935483870968,1050.7241379310344,0.5031663,3.0344192730753043,3.0344192730753043,0.012251689,0.037828542,0.0002754,0.19180001,0.00091882027,1.0
1740000,1.1959549,5.491935483870968,999.0,0.52202255,2.9281506579497765,2.9281506579497765,0.011513207,0.03710571,0.00027450002,0.19150001,0.0009158502,1.0
1800000,1.1911864,5.508064516129032,1050.7241379310344,0.52851117,3.0584264377067827,3.0584264377067827,0.011667123,0.034348276,0.0002736,0.19119999,0.0009128803,1.0
